GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),MassAirFlowRate(g/s)
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.3,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-4.1990204,0.03262329,7.280121,0.11866958,1952.5,18.8235302,46,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.4,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-0.19111633,-0.93463135,8.096542,-0.14995527,1952.5,18.8235302,46,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.5,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.9412842,-1.4733276,9.837128,0.00944043,1952.5,18.8235302,40,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.6,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-4.357025,-0.88674927,9.602493,0.03297768,1952.5,18.8235302,40,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.7,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.1567535,-2.1437073,11.84108,0.05377221,1952.5,18.8235302,40,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.8,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-3.3347015,-0.5826874,11.680664,0.2586859,1952.5,20,40,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:09.9,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.5374298,-0.16848755,10.502716,0.027722947,1952.5,20,40,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.0,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.4241333,-0.09666443,9.37027,0.018952033,1952.5,20,40,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.1,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.37146,-0.43663025,9.724609,0.021094024,1952.5,20,40,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.2,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.4440613,-1.7965393,14.307114,0.5098391,1952.5,20,40,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.3,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-3.241333,0.06854248,7.6416473,0.03558911,1952.5,20,40,9.411765099,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.4,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.6763,-0.27383423,9.820374,0.04878901,1952.5,20,40,17.25490189,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.5,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.9987488,-0.08708191,8.824387,-0.058641672,1952.5,20,40,17.25490189,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.6,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.269287,0.008682251,9.834732,0.035232455,1952.5,20,40,17.25490189,21.33415604,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.7,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.8311462,-0.25706482,9.691086,0.031163014,1952.5,20,40,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.8,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.1016846,-0.010467529,9.104507,0.024717944,1952.5,20,40,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:10.9,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.0011292,0.17388916,9.870651,0.045805156,1879.5,20,40,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.0,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.2118225,0.4659729,9.789246,0.0484092,1879.5,20,40,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.1,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.9125519,-0.020050049,10.292038,0.041704442,1879.5,20,39,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.2,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.9700165,0.06614685,9.145203,-0.027359247,1879.5,20,39,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.3,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.573349,0.26486206,10.837906,0.15481776,1879.5,20,39,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.4,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.245346,-6.6017,9.0733795,0.10254256,1879.5,69.41176605,39,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.5,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,3.1368256,-10.978302,10.275269,0.22768739,1879.5,69.41176605,39,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.6,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-7.541321,-7.164337,10.107681,0.49748582,1879.5,69.41176605,39,17.25490189,11.55316162,-
