GPSTime, DeviceTime, Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),GPSAltitude(m)
Tue May 28 08:37:35 GMT+02:00 2019,37:34.9,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-0.88064575,-0.5491638,10.660736,0.003763686,2365.75,71.37255096,76,25.09803963,9.147946358,261.4134521
Tue May 28 08:37:35 GMT+02:00 2019,37:35.0,11.16605665,43.41087322,20.29,6.432,261.4134521,119.9,-0.88783264,-0.31452942,9.396606,-0.018339932,2365.75,71.37255096,76,25.09803963,9.147946358,261.4134521
Tue May 28 08:37:36 GMT+02:00 2019,37:35.1,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-1.2948456,-0.51564026,9.96402,0.020413663,2365.75,71.37255096,76,25.09803963,9.147946358,260.9136353
Tue May 28 08:37:36 GMT+02:00 2019,37:35.2,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-1.4121552,-0.7622528,10.134018,0.013716717,2365.75,71.37255096,76,25.09803963,9.147946358,260.9136353
Tue May 28 08:37:36 GMT+02:00 2019,37:35.3,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-1.4552612,-0.6736603,9.250549,-0.023964584,2365.75,71.37255096,76,20,9.147946358,260.9136353
Tue May 28 08:37:36 GMT+02:00 2019,37:35.4,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-1.0314789,-0.7143707,9.422928,-0.011979163,2365.75,71.37255096,76,20,9.147946358,260.9136353
Tue May 28 08:37:36 GMT+02:00 2019,37:35.5,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-1.3139954,-0.7933655,9.121262,6.83E-04,2365.75,71.37255096,76,20,9.147946358,260.9136353
Tue May 28 08:37:36 GMT+02:00 2019,37:35.6,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-1.5438385,-0.93463135,9.762909,0.003858503,2365.75,71.37255096,76,20,14.77912426,260.9136353
Tue May 28 08:37:36 GMT+02:00 2019,37:35.7,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-1.7521362,-0.82688904,9.327164,-0.00992316,2365.75,71.37255096,76,20,14.77912426,260.9136353
Tue May 28 08:37:36 GMT+02:00 2019,37:35.8,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-1.0769806,-0.937027,9.94487,-0.006290164,2365.75,71.37255096,76,20,14.77912426,260.9136353
Tue May 28 08:37:36 GMT+02:00 2019,37:35.9,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-2.7337646,-1.707962,8.628067,-0.006542798,2406,71.37255096,76,20,14.77912426,260.9136353
Tue May 28 08:37:36 GMT+02:00 2019,37:36.0,11.1662872,43.41078627,20.39,6.432,260.9136353,119,-1.7377777,-2.9625244,11.213791,-0.003788402,2406,71.37255096,76,20,14.77912426,260.9136353
Tue May 28 08:37:37 GMT+02:00 2019,37:36.1,11.16652675,43.41070971,20.83,6.432,259.0628662,117.2,0.26138306,1.3853455,10.5984955,0.10889274,2406,71.37255096,76,20,14.77912426,259.0628662
Tue May 28 08:37:37 GMT+02:00 2019,37:36.2,11.16652675,43.41070971,20.83,6.432,259.0628662,117.2,-2.4440613,-1.4996643,6.430176,0.09160578,2406,71.37255096,77,20,14.77912426,259.0628662
Tue May 28 08:37:37 GMT+02:00 2019,37:36.3,11.16652675,43.41070971,20.83,6.432,259.0628662,117.2,-1.9532471,-5.2130737,16.09079,0.15459539,2406,71.37255096,77,20,14.77912426,259.0628662
