GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second), HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),MassAirFlowRate(g/s)
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.98683167,-4.432556,8.929733,0.033175237,3738.75,38.4313736,74,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:31.9,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.9533081,-4.889847,9.039856,0.0711655,3738.75,38.4313736,74,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.0,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.0371094,-4.008789,8.379059,-0.028261125,3738.75,38.4313736,78,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.1,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.747406,-4.791687,8.570602,0.002604723,3738.75,38.4313736,78,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.2,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.95570374,-4.8730927,8.357513,0.007045616,3738.75,90.58823395,78,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.3,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.8336029,-4.8922424,9.346313,0.09771341,3738.75,90.58823395,78,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.4,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.88627625,-4.7174683,9.298431,0.08034989,3738.75,90.58823395,78,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.5,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.0825958,-4.159622,8.489197,0.06634439,3738.75,90.58823395,78,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.9413452,-4.0949707,7.770935,-0.08047426,3738.75,90.58823395,78,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.7,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.8934479,-4.4445343,8.252167,-0.021220863,3738.75,90.58823395,78,30.58823586,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.8551483,-5.126877,9.085358,-0.0021361,3738.75,90.58823395,78,40,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:32.9,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.8551483,-3.6400757,7.9337463,0.005477198,3738.75,90.58823395,78,40,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.0,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.23504639,-3.9728699,7.845154,-0.08427262,3738.75,90.58823395,78,40,4.957950592,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.1,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.5415039,-3.8866882,7.778122,-0.0759295,3738.75,90.58823395,78,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.2,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.8120575,-4.8371735,7.778122,-0.07199232,3738.75,90.58823395,78,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.3,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.60375977,-4.7294464,8.54187,-0.04351326,3894,90.58823395,78,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.4,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.7330475,-5.0813904,9.221817,0.09490317,3894,90.58823395,78,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.5,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.7330475,-5.0813904,9.221817,0.09490317,3894,90.58823395,78,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.70191956,-4.530716,8.218658,-0.021675527,3894,90.58823395,81,40,5.127428055,-
